2,4
1,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
1,1
1,2
2,1
2,2
1,3
2,3
3,1
3,2
3,3
4,1
4,2
4,3
5,1
5,2
5,3
6,1
6,2
6,3
7,1
7,2
7,3
8,1
8,2
8,3
9,1
9,2
9,3
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
1,0,36
0,37,36
0,2,37
2,38,37
2,3,38
3,39,38
3,4,39
4,40,39
4,5,40
5,41,40
5,6,41
6,42,41
6,7,42
7,43,42
7,8,43
7,44,43
9,10,11
14,12,13
12,14,16
2,17,0
19,18,16
17,2,20
18,19,21
23,22,20
22,23,25
5,26,4
28,27,25
26,5,29
27,28,30
32,31,29
31,32,34
8,35,7
12,11,10
13,1,14
11,12,15
17,16,14
16,17,19
3,20,2
22,21,19
20,3,23
21,22,24
26,25,23
25,26,28
6,29,5
31,30,28
29,6,32
30,31,33
35,34,32
10,13,12
0,14,1
16,15,12
14,0,17
15,16,18
20,19,17
19,20,22
4,23,3
25,24,22
23,4,26
24,25,27
29,28,26
28,29,31
7,32,6
34,33,31
32,7,35
