20,24
19,23
20,23
21,23
16,22
17,22
18,22
19,22
20,22
21,22
22,22
23,22
24,22
17,21
18,21
19,21
20,21
21,21
22,21
23,21
18,20
19,20
20,20
21,20
22,20
17,19
18,19
19,19
20,19
21,19
22,19
23,19
16,18
17,18
18,18
19,18
20,18
21,18
22,18
23,18
24,18
19,17
20,17
21,17
20,16
20,14,13
30,31,24
31,39,40
33,25,32
13,5,4
41,35,34
42,41,44
43,42,44
1,2,0
25,26,20
1,6,7
38,37,43
11,19,12
19,18,24
10,3,9
2,3,0
23,30,24
23,29,30
35,28,27
28,35,36
23,28,29
28,23,22
31,38,39
38,31,30
35,42,36
42,35,41
26,35,27
35,26,34
26,33,34
26,25,33
21,28,22
28,21,27
21,26,27
26,21,20
21,14,20
21,15,14
16,21,22
21,16,15
15,6,14
6,15,7
14,6,13
6,5,13
42,37,36
37,42,43
37,28,36
28,37,29
29,37,30
37,38,30
18,11,10
11,18,19
8,2,1
8,1,7
15,8,7
16,8,15
8,3,2
3,8,9
8,17,9
17,8,16
23,17,22
17,16,22
17,18,10
17,10,9
17,23,24
18,17,24
