Time,Acceleration,Velocity,Height
0,-9.81,0,250
0.01,-9.81,-9.81,250
0.02,-9.65963,-9.9081,249.902
0.03,-9.65661,-9.75871,249.803
0.04,-9.6612,-9.7542,249.705
0.05,-9.66134,-9.75874,249.608
0.06,-9.6612,-9.75892,249.51
0.07,-9.66119,-9.75879,249.413
0.08,-9.6612,-9.75878,249.315
0.09,-9.6612,-9.75878,249.217
0.1,-9.6612,-9.75879,249.12
0.11,-9.6612,-9.75878,249.022
0.12,-9.6612,-9.75878,248.925
0.13,-9.6612,-9.75878,248.827
0.14,-9.6612,-9.75878,248.729
0.15,-9.6612,-9.75878,248.632
0.16,-9.6612,-9.75878,248.534
0.17,-9.6612,-9.75878,248.437
0.18,-9.6612,-9.75878,248.339
0.19,-9.6612,-9.75878,248.241
0.2,-9.6612,-9.75878,248.144
0.21,-9.6612,-9.75878,248.046
0.22,-9.6612,-9.75878,247.949
0.23,-9.6612,-9.75878,247.851
0.24,-9.6612,-9.75878,247.754
0.25,-9.6612,-9.75878,247.656
0.26,-9.6612,-9.75878,247.558
0.27,-9.6612,-9.75878,247.461
0.28,-9.6612,-9.75878,247.363
0.29,-9.6612,-9.75878,247.266
0.3,-9.6612,-9.75878,247.168
0.31,-9.6612,-9.75878,247.07
0.32,-9.6612,-9.75878,246.973
0.33,-9.6612,-9.75878,246.875
0.34,-9.6612,-9.75878,246.778
0.35,-9.6612,-9.75878,246.68
0.36,-9.6612,-9.75878,246.582
0.37,-9.6612,-9.75878,246.485
0.38,-9.6612,-9.75878,246.387
0.39,-9.6612,-9.75878,246.29
0.4,-9.6612,-9.75878,246.192
0.41,-9.6612,-9.75878,246.095
0.42,-9.6612,-9.75878,245.997
0.43,-9.6612,-9.75878,245.899
0.44,-9.6612,-9.75878,245.802
0.45,-9.6612,-9.75878,245.704
0.46,-9.6612,-9.75878,245.607
0.47,-9.6612,-9.75878,245.509
0.48,-9.6612,-9.75878,245.411
0.49,-9.6612,-9.75878,245.314
0.5,-9.6612,-9.75878,245.216
0.51,-9.6612,-9.75878,245.119
0.52,-9.6612,-9.75878,245.021
0.53,-9.6612,-9.75878,244.923
0.54,-9.6612,-9.75878,244.826
0.55,-9.6612,-9.75878,244.728
0.56,-9.6612,-9.75878,244.631
0.57,-9.6612,-9.75878,244.533
0.58,-9.6612,-9.75878,244.436
0.59,-9.6612,-9.75878,244.338
0.6,-9.6612,-9.75878,244.24
0.61,-9.6612,-9.75878,244.143
0.62,-9.6612,-9.75878,244.045
0.63,-9.6612,-9.75878,243.948
0.64,-9.6612,-9.75878,243.85
0.65,-9.6612,-9.75878,243.752
0.66,-9.6612,-9.75878,243.655
0.67,-9.6612,-9.75878,243.557
0.68,-9.6612,-9.75878,243.46
0.69,-9.6612,-9.75878,243.362
0.7,-9.6612,-9.75878,243.264
0.71,-9.6612,-9.75878,243.167
0.72,-9.6612,-9.75878,243.069
0.73,-9.6612,-9.75878,242.972
0.74,-9.6612,-9.75878,242.874
0.75,-9.6612,-9.75878,242.777
0.76,-9.6612,-9.75878,242.679
0.77,-9.6612,-9.75878,242.581
0.78,-9.6612,-9.75878,242.484
0.79,-9.6612,-9.75878,242.386
0.8,-9.6612,-9.75878,242.289
0.81,-9.6612,-9.75878,242.191
0.82,-9.6612,-9.75878,242.093
0.83,-9.6612,-9.75878,241.996
0.84,-9.6612,-9.75878,241.898
0.85,-9.6612,-9.75878,241.801
0.86,-9.6612,-9.75878,241.703
0.87,-9.6612,-9.75878,241.605
0.88,-9.6612,-9.75878,241.508
0.89,-9.6612,-9.75878,241.41
0.9,-9.6612,-9.75878,241.313
0.91,-9.6612,-9.75878,241.215
0.92,-9.6612,-9.75878,241.118
0.93,-9.6612,-9.75878,241.02
0.94,-9.6612,-9.75878,240.922
0.95,-9.6612,-9.75878,240.825
0.96,-9.6612,-9.75878,240.727
0.97,-9.6612,-9.75878,240.63
0.98,-9.6612,-9.75878,240.532
0.99,-9.6612,-9.75878,240.434
1,-9.6612,-9.75878,240.337
